name,discount_in_percent,price_in_brl,rating_in_percent,end_time_in_seconds,start_time_in_second,release_time_in_second
Super Treasure Arena,80,3.19,65.08,1637172000,1636394811,1545609600
Seven Kingdoms 2 HD,60,7.99,74.91,1637085600,1635872726,1423008000
Dead Synchronicity: Tomorrow Comes Today,90,1.99,79.89,1637258400,1636045528,1428624000
Retention,47,1.16,35.69,1636999200,1636394811,1421107200
Survivalist,60,4.19,77.49,1636999200,1636394811,1422576000
Battle Ranch: Pigs vs Plants,43,1.14,49.68,1637085600,1635872723,1422835200
Moorhuhn Invasion (Crazy Chicken Invasion),75,2.09,71.14,1636999200,1636394811,1424390400
Sunrider Academy,75,4.99,80.15,1636740000,1636182317,1429056000
Razenroth,89,1.15,77.19,1636999200,1636394811,1440720000
RaidersSphere4th,75,9.24,67.04,1636740000,1636182311,1388448000
Glorkian Warrior: The Trials Of Glork,60,3.35,82.9,1637085600,1635872727,1427155200
Age of Fear 2: The Chaos Lord GOLD,75,9.99,77.21,1636999200,1635442649,1459036800
Greyfox RPG,41,1.15,71.26,1637085600,1635872723,1424649600
Lux Delux,50,9.99,73.14,1636999200,1636394811,1430438400
15 Days,80,3.99,36.4,1636999200,1636394811,1277424000
Elementary My Dear Majesty!,10,2.06,68.12,1636740000,1636182317,1384473600
Sacra Terra: Angelic Night,80,1.25,79.68,1636740000,1636182317,1308096000
Three Fourths Home: Extended Edition,80,2.09,59.71,1636999200,1636394811,1426809600
Reign Of Kings,75,5.17,56.96,1637085600,1635872727,1450137600
Sun Blast: Star Fighter,41,1.15,59.89,1637085600,1635872724,1427932800
Inbetween Land,74,2.07,73.59,1636999200,1636394813,1424304000
Hidden Object Bundle 5 in 1,75,4.99,62.27,1636740000,1636182317,1424995200
GOCCO OF WAR,80,7.39,83.99,1636740000,1636182598,1447804800
Marble Age,75,2.99,79.42,1637258400,1636045528,1425427200
Heroes of Hellas 3: Athens,80,1.25,83.47,1636740000,1636182318,1426118400
Hidden Object Bundle 4 in 1,75,3.99,84.98,1636740000,1636182318,1401580800
Ame no Marginal -Rain Marginal-,50,12.99,79.25,1636740000,1636182314,1419897600
Lord of the Dark Castle,45,1.25,61.18,1636999200,1636394813,1429488000
Supercharged Robot VULKAISER,50,5.24,85.69,1636999200,1636157149,1433376000
ARMED SEVEN,50,5.24,82.19,1636999200,1636157153,1425600000
Regency Solitaire,60,7.99,87.86,1636999200,1636394813,1431907200
Age of Fear: The Undead King,75,9.99,85.03,1636999200,1635442650,1479168000
Riff Racer - Race Your Music!,75,5.17,80.94,1636999200,1636394813,1463011200
King of Dragon Pass,70,6.59,75.91,1636740000,1636182598,1438041600
An Octave Higher,80,4.79,77.61,1636740000,1636182323,1427414400
Love at First Sight,50,9.99,90.46,1636740000,1636182318,1431907200
House of Caravan,73,1.15,65.09,1637085600,1635872728,1429142400
NEO AQUARIUM - The King of Crustaceans -,80,3.59,74.17,1636740000,1636182594,1433721600
Dungeon Warfare,75,4.99,90.86,1636999200,1636394813,1446595200
Thumper,70,11.09,88.2,1636999200,1636394814,1476057600
Creature Romances: Kokonoe Kokoro,75,1.62,67.8,1636740000,1636182319,1519948800
UBERMOSH,45,1.14,85.36,1637172000,1631293706,1439424000
Red Lake,47,1.16,43.86,1637172000,1635981012,1427241600
Defend Your Life: TD,50,5.24,75.96,1636999200,1636394814,1428624000
Make it indie!,47,1.16,46.65,1636999200,1636394814,1427846400
Curious Expedition,75,6.99,87.53,1637517600,1636308302,1472774400
Sunrider: Liberation Day - Captain's Edition,75,11.49,78.96,1636740000,1636182319,1457049600
Selenon Rising,50,5.99,68.8,1636740000,1636182319,1461888000
Artifact Adventure,80,2.79,68.41,1636740000,1636182328,1431993600
Shift Happens,90,2.79,80.07,1637085600,1635872729,1487721600
Yooka-Laylee,80,21.19,73.86,1636999200,1636394815,1491868800
Regimental Chess,50,1.14,53.87,1636650000,1635442653,1430265600
Interstellar Rift,50,18.99,68.95,1636999200,1636394815,1600905600
Hacker's Beat,80,3.99,50.0,1636740000,1636182328,1442275200
Dead Age,85,4.19,79.75,1637172000,1636394815,1468454400
Solar Shifter EX,80,2.09,44.95,1637172000,1636394815,1441929600
Windscape,80,7.59,63.92,1637172000,1636394815,1553644800
Forget Me Not: My Organic Garden,80,3.99,78.66,1636740000,1636182329,1440115200
Sierra Ops - Space Strategy Visual Novel,25,29.43,71.61,1636740000,1636182329,1579132800
Redemption: Saints And Sinners,50,1.14,51.83,1636740000,1635527123,1479427200
CopperCube 5 Game Engine,71,11.01,60.38,1636912800,1636221925,1430438400
Bunker Constructor,80,2.09,54.33,1637172000,1636394815,1466726400
Tom Clancy’s The Division™,67,29.69,68.05,1636999200,1636394815,1457308800
The Long Journey Home,90,3.99,60.03,1637085600,1635872730,1496102400
oO,22,1.7,84.98,1636999200,1636394814,1432080000
Hook,15,1.86,93.89,1636999200,1636394814,1422144000
Tobari and the Night of the Curious Moon,50,9.99,72.08,1636740000,1636182329,1344643200
Rising Angels: Hope,50,13.99,69.44,1636740000,1636182329,1458259200
WORLD END ECONOMiCA episode.02,50,12.99,85.95,1636740000,1636182331,1437436800
Slain: Back from Hell,80,5.19,69.11,1636999200,1636394814,1458777600
SoulCraft,80,2.09,47.37,1637172000,1636394814,1433116800
Void Destroyer 2,50,18.99,79.41,1637172000,1635962900,1580947200
Marble Mayhem: Fragile Ball,41,1.15,65.09,1637085600,1635872728,1436227200
Stones of Sorrow,82,1.16,53.24,1636999200,1636394816,1432598400
LiEat,60,4.83,92.37,1636740000,1636182331,1456444800
Letter Quest: Grimm's Journey Remastered,80,3.19,85.31,1636999200,1636394816,1438732800
Portal Knights,60,14.79,81.09,1636740000,1636182331,1495065600
Energy Balance,80,1.25,64.79,1636999200,1636394816,1435795200
Super Star Path,80,1.99,76.75,1637085600,1635872730,1434931200
Colortone,80,1.73,63.73,1636999200,1636394816,1446076800
Rytmik Ultimate,70,10.19,81.25,1636999200,1636394816,1449705600
Chronicle Keepers: The Dreaming Garden,89,1.15,60.82,1637431200,1636218319,1433980800
Sunny Hillride,73,1.15,58.26,1637172000,1636394816,1454284800
The Surge,67,17.78,73.34,1636653600,1636480890,1494806400
Fate Tectonics,89,1.19,70.15,1637085600,1635872730,1441756800
MiniOne Racing,89,1.15,53.68,1636999200,1636394816,1229385600
Sound of Drop - fall into poison -,50,12.99,81.58,1636740000,1636182331,1446163200
Flesh Eaters,51,2.1,69.12,1637172000,1635962897,1462233600
SEEP Universe,80,1.25,67.24,1636999200,1636394816,1436918400
Marble Age: Remastered,50,10.34,79.76,1637258400,1636045531,1604361600
Nimbatus - The Space Drone Constructor,50,18.99,79.3,1636740000,1636182573,1589414400
Machina of the Planet Tree -Planet Ruler-,75,6.49,74.38,1636740000,1636182332,1438041600
Mute Crimson+,50,5.44,80.88,1636999200,1636394817,1439424000
Wave Mechanics,80,2.29,79.04,1636999200,1636394817,1429747200
NEKOPARA Vol. 0,60,4.2,91.7,1636740000,1636182332,1439769600
Order of Ataxia: Initial Effects,50,9.99,66.62,1636740000,1636182330,1502928000
Memory's Dogma CODE:01,50,13.99,75.86,1636740000,1636182333,1478217600
Walkerman,40,8.39,70.25,1636740000,1636182594,1495411200
In Between,85,3.59,79.63,1636740000,1636182333,1440115200
Spooky Bonus,75,4.99,87.48,1636999200,1636394817,1444867200
Azure Striker Gunvolt,50,13.99,82.54,1636740000,1636182576,1440720000
Shadow Ninja: Apocalypse,65,1.5,57.02,1636999200,1636394817,1447632000
My Bones,50,1.14,46.58,1636999200,1635789144,1438560000
Redemption: Eternal Quest,45,1.25,48.47,1636999200,1636394817,1440720000
The Deletion,50,2.14,70.76,1637431200,1636218319,1438214400
Labyronia RPG,41,1.15,70.17,1637085600,1635872729,1439510400
Braveland Pirate,75,8.74,81.21,1636999200,1636394817,1442275200
King Lucas,80,2.09,64.2,1636999200,1636394817,1480550400
Murasaki,80,2.09,80.43,1636740000,1636182334,1463011200
The Franz Kafka Videogame,90,1.44,64.2,1637690400,1636480891,1491436800
Bad Rats Show,73,1.15,76.83,1637604000,1636394817,1468972800
Last Horizon,66,3.56,73.39,1637085600,1635872731,1447804800
Mighty Gunvolt,80,2.09,69.97,1636740000,1636182336,1443484800
Mountain Crime: Requital,80,1.25,80.96,1636740000,1636182573,1324684800
Toby: The Secret Mine,80,3.99,67.71,1637604000,1636394818,1445299200
DISTRAINT: Deluxe Edition,83,1.78,90.59,1637085600,1635872731,1445385600
ANKI,47,1.16,60.96,1636999200,1636394818,1439769600
Secret Of Magia,41,1.15,48.28,1637085600,1635872732,1440115200
LocoSoccer,47,1.16,61.32,1637085600,1635872732,1449619200
Looterkings,80,6.79,70.05,1637172000,1636394818,1502409600
Labyronia RPG 2,41,1.15,71.34,1637085600,1635872732,1440720000
Meridian: Age of Invention,80,1.25,66.88,1636740000,1636182334,1359331200
Destiny Warriors RPG,41,1.15,48.52,1637085600,1635872732,1441929600
Ookibloks,60,1.79,78.16,1636999200,1636394818,1444262400
Black Closet,66,12.57,84.28,1636999200,1636394818,1442361600
Reverse Crawl,75,2.99,83.74,1636999200,1636394818,1443052800
FlatOut 4: Total Insanity,80,11.19,52.17,1637604000,1635847563,1491264000
Press X to Not Die,75,1.57,86.91,1636999200,1636394818,1507248000
Dungeons of Betrayal,89,1.15,63.06,1637172000,1635962897,1560988800
STEEL STRIDER,50,5.99,72.9,1636999200,1636157116,1447286400
All My Gods,50,4.19,78.09,1636740000,1636131936,1444694400
